"Row.names","FPKM.IZ_TR_184_S2 Control","FPKM.IZ_TR_185_S3 SCA1","gene_name","FC SCA1 vs Control","Log2FC SCA1 vs Control"
"AKAP17A","2.865536","0","AKAP17A","0","#REF!"
"ATF6B","0","4.7911493428899","ATF6B","Inf","Inf"
"BRWD1-AS1","0","1.545741","BRWD1-AS1","Inf","Inf"
"CASP12","4.457223","0.940732","CASP12","0.21105787168378","-2.2442894573597"
"DNAJC28","2.102954","0","DNAJC28","0","#REF!"
"FAAHP1","1.871927","0","FAAHP1","0","#REF!"
"GNRH1","3.060341","0.649881","GNRH1","0.21235574728437","-2.2354449399743"
"GPR19","3.559639","2.110219","GPR19","0.59281826050338","-0.75433820741243"
"HLA-A","2.094427","0","HLA-A","0","#REF!"
"HPSE2","0.290239","1.860255","HPSE2","6.4093901922209","2.6801871012264"
"HS1BP3-IT1","1.604711","0","HS1BP3-IT1","0","#REF!"
"KRT222","4.392464","1.833102","KRT222","0.41732886143176","-1.2607433976155"
"LINC00106","0","3.091965","LINC00106","Inf","Inf"
"LINC00844","1.698076","0","LINC00844","0","#REF!"
"LOC100101478","1.943914","0","LOC100101478","0","#REF!"
"LOC100134868","3.362616","1.006988","LOC100134868","0.29946565412167","-1.7395375458624"
"LOC100422556","1.743996","0","LOC100422556","0","#REF!"
"LOC728323","2.467076","0","LOC728323","0","#REF!"
"MSTRG.10002","1.846812","3.308824","EP400NL","1.7916409466692","0.84128154344373"
"MSTRG.10008","10.028007183837","14.541003852197","GALNT9","1.4500392336809","0.53609193573751"
"MSTRG.10016","12.276678","17.878248","LOC101928416","1.4562773414762","0.54228513649097"
"MSTRG.10023","10.932484951088","27.587060022723","FBRSL1","2.5234025151782","1.3353703530973"
"MSTRG.10026","11.654454603467","10.64894398459","EP400","0.91372306529229","-0.13017112092704"
"MSTRG.10029","1.703032","0.204464","PGAM5","0.12005881275278","-3.0581867883778"
"MSTRG.10032","18.759721112659","19.386543011323","POLE","1.0334131778879","0.047417185964874"
"MSTRG.10035","3.7783681467574","1.6397092269847","ZNF605","0.43397285899521","-1.2043232766817"
"MSTRG.10037","1.77879","0","ZNF84","0","#REF!"
"MSTRG.10038","2.773565","0","ZNF140","0","#REF!"
"MSTRG.10043","4.358539","1.077366","ZNF891","0.24718512327181","-2.0163361770004"
"MSTRG.10044","2.388647","0.349684","ZNF10","0.14639417209826","-2.7720699733166"
"MSTRG.10060","8.895542","6.308713","ANKLE2","0.70919939448321","-0.49573679042803"
"MSTRG.10061","12.286290501825","12.715236397775","GOLGA3","1.0349125633881","0.049508883961268"
"MSTRG.10068","20.571339","0","MPHOSPH8","0","#REF!"
"MSTRG.10069","11.139506839286","5.8505878372365","PSPC1","0.52521066880656","-0.92903187233899"
"MSTRG.1007","4.7584150459267","6.3305813275014","SCMH1","1.3303970474203","0.41185687193627"
"MSTRG.10073","4.3408988763298","8.3611600478723","CRYL1","1.9261356428882","0.94570930465153"
"MSTRG.10081","5.7219367693967","1.3278514030357","ZMYM2","0.23206327796867","-2.10740984831"
"MSTRG.10086","4.02376","11.466471268932","IL17D","2.8496906547438","1.5108053174916"
"MSTRG.10090","4.818478","0.87779","XPO4","0.18217163178912","-2.4566297782479"
"MSTRG.10092","2.343308","4.210436","LATS2","1.7967915442614","0.84542304351405"
"MSTRG.10095","13.788122","10.180604","SAP18","0.73836045256925","-0.43760281223163"
"MSTRG.10099","6.7089313044538","0.94449644515843","MICU2","0.14078195204226","-2.8284656996057"
"MSTRG.101","2.6348724360799","4.969179","NADK","1.8859277329543","0.91527439430252"
"MSTRG.10103","5.9603606695332","1.4017162612613","FGF9","0.23517306065491","-2.0882052876277"
"MSTRG.10110","2.096701","0","ZDHHC20","0","#REF!"
"MSTRG.1014","11.244305317117","3.810575424941","FOXJ3","0.33888935932219","-1.5611137560711"
"MSTRG.10140","3.9886047631695","0.60200598451759","SACS","0.15093147109397","-2.7280344377484"
"MSTRG.10153","2.604305","5.183167","SPATA13","1.9902304069608","0.99293545978287"
"MSTRG.1016","4.143771","1.844797","PPIH","0.4451976231312","-1.1674822046019"
"MSTRG.10162","8.7245562285933","3.398141","CENPJ","0.38949155819102","-1.3603360351188"
"MSTRG.10167","7.445825","2.393743","TPTE2P1","0.32148794794398","-1.6371634405919"
"MSTRG.10172","2.907303","0.671616","MTMR6","0.23100997728823","-2.1139729321057"
"MSTRG.10173","3.088463","0","NUPL1","0","#REF!"
"MSTRG.1018","20.395838","22.694275","YBX1","1.112691471662","0.15405361603288"
"MSTRG.10180","4.406846","0.131542","RNF6","0.029849466035346","-5.066151065824"
"MSTRG.10183","10.966084566613","3.6869356875334","CDK8","0.33621258938295","-1.5725543480042"
"MSTRG.10187","6.856504","1.595763","GPR12","0.23273712084176","-2.1032267604516"
"MSTRG.10188","28.512271580284","21.761560264947","WASF3","0.76323488304576","-0.38980098480302"
"MSTRG.10189","5.6792351732955","2.1044840411932","RPL21","0.37055765027811","-1.4322300846094"
"MSTRG.1019","23.94075230648","16.951710751313","NDUFS5","0.70806925924067","-0.49803761159026"
"MSTRG.10194","7.300348","2.528892","USP12","0.34640704799278","-1.5294598114717"
"MSTRG.10202","6.9764987373633","0.91301335011347","GTF3A","0.13086985097894","-2.9337953188643"
"MSTRG.10203","6.1942902699914","0","MTIF3","0","#REF!"
"MSTRG.10205","3.315845","1.045895","LNX2","0.31542336870391","-1.6646385461593"
"MSTRG.10207","7.6483546515913","3.9308620954774","POLR1D","0.51394872159328","-0.96030367086417"
"MSTRG.10208","6.1720845551082","2.116881","FLT3","0.3429766687574","-1.5438176555529"
"MSTRG.10213","14.746096021739","4.2562017619643","PAN3","0.28863244588193","-1.7926946090504"
"MSTRG.10215","4.943201","1.272779","POMP","0.25748072959202","-1.9574636329308"
"MSTRG.10217","3.120786","0.625571","SLC46A3","0.20045302689771","-2.3186638921288"
"MSTRG.10221","5.8939870055236","3.2502357402784","MTUS2","0.55144942417287","-0.85869951884564"
"MSTRG.10225","2.690587","4.392059","FLT1","1.6323794770435","0.70697647765811"
"MSTRG.10230","10.115848","4.862928","UBL3","0.4807237119419","-1.0567201279889"
"MSTRG.10232","5.294911","7.703443","SLC7A1","1.4548767675226","0.54089695766049"
"MSTRG.10238","12.238649607533","3.9456682573318","HMGB1","0.32239408626448","-1.633102814406"
"MSTRG.10247","5.6844002514925","0.566527","HSPH1","0.099663460512171","-3.3267915216627"
"MSTRG.10252","2.414654","0","N4BP2L1","0","#REF!"
"MSTRG.10257","14.156900411998","0.82337824791824","N4BP2L2","0.058160912626072","-4.1038062824364"
"MSTRG.10262","11.005130478528","2.561385","PDS5B","0.23274462806212","-2.1031802253099"
"MSTRG.10271","3.791126","1.128762","RFC3","0.2977379279929","-1.7478850807622"
"MSTRG.10275","7.0980484590244","2.1769163464799","RFXAP","0.30669223506247","-1.7051364544601"
"MSTRG.10276","6.00336","3.367986","SPG20","0.56101683057488","-0.83388404237293"
"MSTRG.1028","3.704643788901","1.4160583808487","SVBP","0.38223874184374","-1.3874540846692"
"MSTRG.10281","1.698675","0","SMAD9","0","#REF!"
"MSTRG.10282","23.118472215657","8.9739821530293","NBEA","0.38817366776303","-1.3652258405045"
"MSTRG.10286","1.4168737807147","2.9403447811685","DCLK1","2.0752340972005","1.0532740891442"
"MSTRG.10287","11.659342601493","6.0354221019143","FRY","0.51764686125114","-0.94995986813962"
"MSTRG.10297","1.808812","0","UFM1","0","#REF!"
"MSTRG.10300","1.891814","0","ALG5","0","#REF!"
"MSTRG.10301","2.595634","0.734557","EXOSC8","0.28299714058299","-1.8211406188181"
"MSTRG.10303","6.557846","2.984146","PROSER1","0.45504972211912","-1.1359039013662"
"MSTRG.10304","2.663414","0","NHLRC3","0","#REF!"
"MSTRG.10305","17.379359646364","13.263950243636","LHFP","0.76320132119549","-0.38986442605896"
"MSTRG.10309","4.663185","0","COG6","0","#REF!"
"MSTRG.10312","3.120234","0.898167","FOXO1","0.28785244952782","-1.7965986057296"
"MSTRG.10315","6.279844","2.821403","MRPS31","0.44927915406816","-1.1543159705292"
"MSTRG.10326","4.639987","0.102418","WBP4","0.022072906669782","-5.5015795664118"
"MSTRG.10329","2.218858","0.545171","MTRF1","0.24569891358528","-2.0250366163839"
"MSTRG.10332","7.0863631297196","1.4084246087437","NAA16","0.19875140223013","-2.330963055958"
"MSTRG.10336","6.575966","3.63213","VWA8","0.55233406012136","-0.85638699979223"
"MSTRG.10339","20.21203","5.359886","AKAP11","0.26518296281967","-1.9149400051274"
"MSTRG.10348","2.72512","0.644695","DNAJC15","0.23657490312353","-2.079631060346"
"MSTRG.1035","2.216578","0","C1orf50","0","#REF!"
"MSTRG.10358","12.357679","6.103956","TSC22D1","0.49394032649659","-1.0175913362102"
"MSTRG.10365","5.8751391794872","1.8388289704142","GPALPP1","0.31298475052887","-1.6758357280564"
"MSTRG.10367","2.707332","0.328892","GTF2F2","0.1214819608382","-3.0411859945661"
"MSTRG.10370","3.830567","1.30298","COG3","0.34015329845425","-1.555743015948"
"MSTRG.10372","15.573381","9.981697","TPT1","0.64094604761805","-0.64172517347205"
"MSTRG.10377","2.474822","0.804342","SLC25A30","0.32501004112619","-1.6214438042565"
"MSTRG.10381","13.706133030504","8.1036396214396","ZC3H13","0.5912418625592","-0.75817967254741"
"MSTRG.10384","9.6299482143668","4.6869277026504","LRCH1","0.48670331328034","-1.0388854989501"
"MSTRG.10389","5.473516","2.75722","ESD","0.50373836488283","-0.98925348356874"
"MSTRG.10395","7.127094","0.879669","SUCLA2","0.12342604152548","-3.0182812756353"
"MSTRG.10398","3.7063321421095","0.69830455072464","NUDT15","0.1884085192449","-2.4080638942971"
"MSTRG.10403","5.9376358805461","2.4400414197952","MED4","0.41094493985219","-1.282982986439"
"MSTRG.10404","1.470585","0","MED4-AS1","0","#REF!"
"MSTRG.10419","11.086580862676","2.6044353063805","ITM2B","0.23491781087788","-2.0897719958792"
"MSTRG.10426","6.438723","1.91889","RB1","0.29802338134441","-1.7465025735074"
"MSTRG.10433","1.874017","0.406053","CDADC1","0.21667519558254","-2.2063940880099"
"MSTRG.10434","4.0838518556675","3.4964811853904","CAB39L","0.85617238552326","-0.22402679043303"
"MSTRG.10437","2.811879","0.675813","SETDB2","0.2403421342099","-2.0568385063983"
"MSTRG.10443","7.971444385217","2.0065942131575","FNDC3A","0.2517227890191","-1.9900922621129"
"MSTRG.10451","5.674451","0.778459","KPNA3","0.1371866635204","-2.8657878568764"
"MSTRG.10465","2.282352","0","RNASEH2B","0","#REF!"
"MSTRG.1047","3.834847","12.723489","SLC2A1","3.3178609211789","1.7302534123544"
"MSTRG.10471","5.3664788172271","1.6872472146518","KCNRG","0.31440489604385","-1.6693044108685"
"MSTRG.10471","5.3664788172271","1.6872472146518","TRIM13","0.31440489604385","-1.6693044108685"
"MSTRG.10474","5.776505","0","DLEU1","0","#REF!"
"MSTRG.10491","3.2630297713671","1.0977104344456","INTS6","0.33640834174362","-1.5717146150882"
"MSTRG.10492","2.53535","0","INTS6-AS1","0","#REF!"
"MSTRG.10515","5.377881","3.540313","UTP14C","0.65831002954509","-0.60316091708426"
"MSTRG.10517","2.0296402311494","0","ATP7B","0","#REF!"
"MSTRG.10525","4.643576","0.174051","VPS36","0.037482104309265","-4.7376542391437"
"MSTRG.1053","3.99046","0","EBNA1BP2","0","#REF!"
"MSTRG.10532","6.70491294796","4.8801410699417","HNRNPA1L2","0.72784555262966","-0.45829574898898"
"MSTRG.10535","2.4842705058337","0","CKAP2","0","#REF!"
"MSTRG.10542","13.521858712206","2.398381","SUGT1","0.1773706596886","-2.495160713335"
"MSTRG.10564","3.1856203217054","0","TDRD3","0","#REF!"
"MSTRG.10571","17.189753904566","13.73087313604","PCDH9","0.79878241493574","-0.32412552245132"
"MSTRG.10586","4.904188","2.021345","KLF12","0.41216711104876","-1.2786987055364"
"MSTRG.10587","2.3213252118644","1.754921","TBC1D4","0.75599962944895","-0.40354256757368"
"MSTRG.10597","4.982372","0.632081","CLN5","0.1268634698493","-2.9786513878379"
"MSTRG.10599","10.368449","1.228363","FBXL3","0.11847123904453","-3.0773912325911"
"MSTRG.106","34.863284578026","34.024183195291","GNB1","0.97593166011491","-0.035147968682461"
"MSTRG.10602","4.889788","0","UCHL3","0","#REF!"
"MSTRG.10608","1.464509","0","EDNRB","0","#REF!"
"MSTRG.10613","3.593212","0.101193","RNF219","0.028162268187905","-5.1500926565217"
"MSTRG.10617","1.85888","0.43879858990333","NDFIP2","0.23605536124082","-2.0828028453803"
"MSTRG.10619","10.508994052281","3.445545168139","RBM26","0.32786631631894","-1.6088204022926"
"MSTRG.10621","22.805328223672","15.067988508854","SPRY2","0.66072228213813","-0.59788409603546"
"MSTRG.1063","0.778092","2.564584","ELOVL1","3.2959907054693","1.7207121741982"
"MSTRG.10639","24.318051482614","9.8924963288259","MYCBP2","0.40679642182263","-1.2976211055677"
"MSTRG.10669","2.191952","0.311008","GPR180","0.14188631867851","-2.8171926099727"
"MSTRG.10671","2.055014","0.492418","DNAJC3-AS1","0.23961783228727","-2.0611928178328"
"MSTRG.10672","2.755251","1.045487","DNAJC3","0.37945254352507","-1.3980086295422"
"MSTRG.10675","7.445789724758","3.5067831163954","DZIP1","0.47097530900382","-1.0862766667085"
"MSTRG.10682","5.902432","2.214535","RAP2A","0.375190260557","-1.4143057170034"
"MSTRG.10685","19.796298819007","6.371185469905","MBNL2","0.3218372044267","-1.6355969834333"
"MSTRG.10686","8.582796","2.48647","IPO5","0.28970396127323","-1.7873486834231"
"MSTRG.10694","10.246521093794","2.8602144927671","DOCK9","0.2791400580339","-1.8409389214688"
"MSTRG.10696","1.444661","0","DOCK9-AS1","0","#REF!"
"MSTRG.107","12.126212292215","11.592283036663","PRKCZ","0.95596899982572","-0.06496425965502"
